Number,Gender,GivenName,MiddleInitial,Surname,StreetAddress,EmailAddress,Username,TelephoneNumber,Birthday,NationalID,BloodType
726,female,Sigurlaug,E,Kristinsdóttir,Hverfisgata 56,SigurlaugKristinsdottir@dayrep.com,Kneasupian1967,428 5694,9/23/1967,,O+
727,female,Karlotta,J,Þorvarðardóttir,Fjolnisgata 74,Karlottaorvarardottir@superrito.com,Thister,476 0176,5/23/1988,,A+
728,male,Þormar,K,Hjaltason,Hraunás 16,ormarHjaltason@superrito.com,Wilken,440 8549,2/1/1989,,O+
729,male,Ágúst,G,Kristinsson,Laugarvegur 73,AgustKristinsson@armyspy.com,Ocied1961,446 2951,5/11/1961,,A+
730,male,Númi,H,Bergsveinsson,Skíðabraut 39,NumiBergsveinsson@superrito.com,Derestle,487 6105,9/27/1987,,O+
731,male,Matti,Á,Áskelsson,Þjónustusvæði 29,MattiAskelsson@teleworm.us,Juspencesses,452 2459,12/5/1955,,B+
732,female,Sigurlína,T,Indriðadóttir,Guðmundsson 20,SigurlinaIndriadottir@cuvox.de,Vint1985,426 5904,2/22/1985,,B+
733,female,Karólína,S,Stefánsdóttir,Bergstaðarstræti 72,KarolinaStefansdottir@gustr.com,Wervelf,455 0393,5/25/1992,,AB+
734,male,Þröstur,Á,Viðarsson,Gilsbakka 19,rosturViarsson@rhyta.com,Withen,415 6489,3/14/1994,,O+
735,female,Elínbjörg,Á,Úlfarsdóttir,Hamarstígur 78,ElinbjorgUlfarsdottir@superrito.com,Blothe67,477 1444,3/30/1967,,A+
736,female,Stella,S,Finnbogadóttir,Sorlaskeid 97,StellaFinnbogadottir@fleckens.hu,Dirarew,484 4043,1/27/1944,,O+
737,male,Ingvar,S,Alfreðsson,Þorsteinsgata 65,IngvarAlfresson@gustr.com,Harstin,478 9188,6/21/1993,,A+
738,female,Rósalind,Æ,Guðjónsdóttir,Lindargata 38,RosalindGujonsdottir@dayrep.com,Lych1930,461 7959,8/23/1930,,O+
739,male,Siggeir,S,Sigurbjarnason,Aðalstræti 31,SiggeirSigurbjarnason@armyspy.com,Govey1941,488 9717,11/27/1941,,O+
740,female,Karítas,G,Níelsdóttir,Kirkjutorg 27,KaritasNielsdottir@armyspy.com,Wassent,442 9954,1/9/1957,,B+
741,female,Jakobína,H,Jakobsdóttir,Norðurbrún 13,JakobinaJakobsdottir@gustr.com,Rearandeas,439 1720,2/28/1952,,A+
742,male,Atli,L,Kristjánsson,Hafnarbraut 99,AtliKristjansson@teleworm.us,Knearot,442 1435,6/2/1943,,O+
743,female,Bergdís,V,Hrafnsdóttir,Klapparstígur 7,BergdisHrafnsdottir@gustr.com,Coustruste,415 9921,8/7/1928,,A+
744,female,María,M,Einarsdóttir,Súluvegur 65,MariaEinarsdottir@teleworm.us,Antandigule1959,448 1936,7/9/1959,,A+
745,female,Una,F,Friðbjarnardóttir,Heiðarbraut 57,UnaFribjarnardottir@dayrep.com,Leall1984,463 6895,5/14/1984,,O+
746,female,Lara,S,Eiríksdóttir,Fitjabraut 75,LaraEiriksdottir@teleworm.us,Plack1992,435 3516,4/16/1992,,A+
747,female,Hólmfríður,H,Angantýsdóttir,Stórholt 86,HolmfriurAngantysdottir@superrito.com,Officeir,413 2856,5/16/1968,,O+
748,male,Guðlaugur,H,Finnbogason,Þjónustusvæði 50,GulaugurFinnbogason@dayrep.com,Smappood,446 6057,11/1/1994,,O+
749,male,Karl,H,Guðbergsson,Reykjarhóli 11,KarlGubergsson@gustr.com,Willoused,482 3346,3/14/1951,,O+
750,female,Hafdís,S,Baldursdóttir,Vikurbraut 60,HafdisBaldursdottir@superrito.com,Surplify,449 6217,2/19/1929,,B+
751,male,Anton,G,Erlendsson,Klausturvegur 35,AntonErlendsson@superrito.com,Whismat,443 7766,3/22/1963,,O+
752,male,Valur,J,Rútsson,Birkimelur 61,ValurRutsson@jourrapide.com,Theighavell,479 3535,7/17/1953,,A+
753,male,Ástþór,B,Hartmannsson,Solvellir 31,AstorHartmannsson@teleworm.us,Sarrawn76,453 8792,7/31/1976,,O+
754,female,Jakobína,A,Jakobsdóttir,Aðalgata 10,JakobinaJakobsdottir@teleworm.us,Puressited1931,448 0797,8/17/1931,,A+
755,male,Rögnvaldur,Á,Olgeirsson,Þjónustusvæði 81,RognvaldurOlgeirsson@superrito.com,Youghted,474 3473,2/1/1982,,B+
756,female,Lovísa,Þ,Jóhannsdóttir,Norðurbrún 90,LovisaJohannsdottir@superrito.com,Lierected,474 6092,10/3/1946,,B+
757,female,Dýrfinna,G,Þorkelsdóttir,Nesvegi 98,Dyrfinnaorkelsdottir@teleworm.us,Examper,441 1438,4/3/1982,,O+
758,female,Svanhvít,E,Valgeirsdóttir,Brekkustíg 46,SvanhvitValgeirsdottir@teleworm.us,Judianob,452 3511,10/31/1962,,A+
759,male,Þórir,R,Andrésson,Golfskálinn 27,orirAndresson@armyspy.com,Samses,462 7956,1/19/1985,,B+
760,male,Pálmi,E,Margeirsson,Hrisateigur 15,PalmiMargeirsson@fleckens.hu,Surnmette1983,483 8691,5/21/1983,,O+
761,female,Karólína,F,Þórðardóttir,Borgartuni 23,Karolinaorardottir@jourrapide.com,Sabigh,478 4418,7/22/1979,,B+
762,female,Embla,Ö,Gísladóttir,Akurgerði 6,EmblaGisladottir@dayrep.com,Stoge1963,480 5107,4/6/1963,,A+
763,female,Freyja,Þ,Úlfarsdóttir,Tryggvabraut 60,FreyjaUlfarsdottir@fleckens.hu,Theratte,454 5057,12/27/1987,,O+
764,female,Kristinn,H,Pálsdóttir,Hafnarbraut 10,KristinnPalsdottir@dayrep.com,Sanclaus,443 3650,3/26/1990,,B+
765,male,Vagn,E,Hólmsteinsson,Skolavordustig 74,VagnHolmsteinsson@armyspy.com,Scretwert,431 5899,1/22/1944,,A+
766,male,Hallur,S,Nikulásson,Kveldúlfsgata 54,HallurNikulasson@teleworm.us,Thislumakin,473 9197,3/19/1938,,B+
767,male,Ríkharður,A,Gautason,Heiðargerði 90,RikharurGautason@teleworm.us,Whinvers,434 9797,10/7/1944,,O+
768,female,Magnína,E,Runólfsdóttir,Thingholtsstraeti 82,MagninaRunolfsdottir@einrot.com,Bese1953,449 9553,3/22/1953,,A+
769,male,Esjar,E,Ingþórsson,Sundabakki 17,EsjarIngorsson@gustr.com,Beess1985,458 9041,2/3/1985,,B+
770,male,Mikael,A,Hjálmtýsson,Lindargata 69,MikaelHjalmtysson@gustr.com,Thatte1957,432 8639,1/24/1957,,B+
771,male,Marina,H,Svanbergsson,Borgartuni 87,MarinaSvanbergsson@einrot.com,Babot1983,411 4665,2/10/1983,,A+
774,female,Þorbjörg,A,Eiríksdóttir,Thingholtsstraeti 79,orbjorgEiriksdottir@rhyta.com,Sallithere,459 6304,8/27/1934,,AB+
775,female,Eygló,S,Jóhannsdóttir,Hvanneyrarbraut 99,EygloJohannsdottir@superrito.com,Exper1981,435 2470,10/22/1981,,A+
776,female,Helga,A,Héðinsdóttir,Hnjúkabyggð 86,HelgaHeinsdottir@cuvox.de,Senguen,419 9058,12/2/1949,,AB+
777,male,Finnur,E,Borgþórsson,Klettsbúð 1,FinnurBorgorsson@superrito.com,Thearthe,436 5240,5/7/1943,,O+
778,female,Áshildur,T,Ívarsdóttir,Birkimelur 3,AshildurIvarsdottir@fleckens.hu,Leations,488 9530,11/1/1949,,AB+
779,male,Valdimar,S,Búason,Klapparstígur 95,ValdimarBuason@gustr.com,Roplegair,489 1358,5/29/1953,,A+
780,male,Ingimundur,H,Ástþórsson,Álfabyggð 97,IngimundurAstorsson@teleworm.us,Hargent1984,412 0726,10/11/1984,,B+
781,male,Davíð,S,Matthíasson,Breidamork 30,DaviMatthiasson@fleckens.hu,Caece1963,413 6059,6/23/1963,,O+
782,male,Adolf,Á,Gestsson,Thverholt 42,AdolfGestsson@fleckens.hu,Befloons,410 1743,5/12/1970,,A+
783,male,Bergvin,P,Þorgilsson,Höfðabraut 27,Bergvinorgilsson@fleckens.hu,Thor1957,452 8377,4/14/1957,,O+
784,female,Jóna,B,Hrafnsdóttir,Hagatorg 10,JonaHrafnsdottir@armyspy.com,Rappers1952,454 3225,10/24/1952,,A+
785,male,Pétur,S,Hálfdánarson,Höfðagata 48,PeturHalfdanarson@cuvox.de,Canch1958,423 1088,3/28/1958,,A+
786,male,Sigtryggur,H,Bachmann,Sigtuni 35,SigtryggurBachmann@teleworm.us,Saithereadd,426 2493,4/4/1981,,B+
787,male,Axel,S,Þráinsson,Ennisbraut 89,Axelrainsson@rhyta.com,Therver,468 6261,9/21/1972,,B+
788,male,Hartmann,G,Sigurvaldason,Strandgata 13,HartmannSigurvaldason@gustr.com,Surmay,451 5347,11/27/1972,,O+
789,male,Diðrik,F,Sophusson,Guðmundsson 60,DirikSophusson@superrito.com,Linceigh48,478 5067,9/7/1948,,A+
790,female,Karen,E,Guðmundsdóttir,Holtagata 57,KarenGumundsdottir@gustr.com,Ciagooract,444 6175,5/14/1993,,B+
791,female,Karla,H,Alfreðsdóttir,Borgartuni 50,KarlaAlfresdottir@dayrep.com,Abom1958,475 8769,2/28/1958,,A+
792,male,Arnór,E,Kolbeinsson,Kveldúlfsgata 13,ArnorKolbeinsson@dayrep.com,Frovers1949,450 7755,10/28/1949,,O+
793,male,Valgeir,J,Magnason,Lindargata 9,ValgeirMagnason@armyspy.com,Eatund,455 9123,5/11/1982,,B+
794,male,Þórhallur,H,Baldvinsson,Garðavegur 68,orhallurBaldvinsson@armyspy.com,Netur1929,432 0010,8/5/1929,,A+
795,female,Svanhildur,B,Jónasdóttir,Kirkjutorg 7,SvanhildurJonasdottir@gustr.com,Poragn,442 2430,9/8/1974,,O+
796,male,Bárður,G,Þorleifsson,Vesturgata 49,Barurorleifsson@einrot.com,Ardsomal,478 2037,8/10/1990,,O+
797,male,Guðlaugur,Á,Ástráðsson,Sigtuni 1,GulaugurAstrasson@gustr.com,Dersecting,421 3694,2/23/1976,,A+
798,female,Una,G,Valbergsdóttir,Eyrarlandsvegur 87,UnaValbergsdottir@jourrapide.com,Whinvotat,469 4252,10/23/1964,,O+
799,female,Hulda,J,Guðgeirsdóttir,Klausturvegur 54,HuldaGugeirsdottir@dayrep.com,Vily1939,477 5860,8/11/1939,,B+
800,male,Eyjólfur,L,Herbertsson,Thingvallastraeti 80,EyjolfurHerbertsson@armyspy.com,Whysid,472 3965,10/11/1984,,B+
801,male,Hallgrímur,G,Ingimundarson,Holmatun 78,HallgrimurIngimundarson@cuvox.de,Nothout,430 5476,2/6/1975,,B+
802,female,Kolbrún,B,Arnórsdóttir,Aðalgata 87,KolbrunArnorsdottir@jourrapide.com,Aning1955,436 8996,7/13/1955,,AB+
803,male,Barði,Á,Hjaltason,Alfaskeid 59,BariHjaltason@gustr.com,Ponot1929,467 8024,7/10/1929,,O+
804,male,Aron,H,Mathiesen,Hvanneyrarbraut 74,AronMathiesen@armyspy.com,Stals1992,448 3639,10/25/1992,,O+
805,male,Indriði,O,Elísson,Ægissiða 10,IndriiElisson@rhyta.com,Madmily,482 9575,3/14/1964,,O+
806,female,Dóra,O,Óladóttir,Alfaskeid 67,DoraOladottir@gustr.com,Boyes1974,410 6739,2/10/1974,,A+
807,female,Magnína,V,Steindórsdóttir,Fagurhólsmýri 76,MagninaSteindorsdottir@einrot.com,Narvir1953,475 3526,8/14/1953,,B+
808,female,Hrönn,P,Bernódusdóttir,Ennisbraut 66,HronnBernodusdottir@rhyta.com,Withine,457 9390,6/21/1987,,A+
809,male,Gunnar,G,Viktorsson,Austurstraeti 2,GunnarViktorsson@dayrep.com,Whimmight36,431 7894,1/6/1936,,B+
810,female,Selma,J,Friðbjarnardóttir,Holtagata 98,SelmaFribjarnardottir@cuvox.de,Vaid1976,440 4628,1/3/1976,,B+
811,female,Hansína,O,Agnarsdóttir,Sigtuni 34,HansinaAgnarsdottir@armyspy.com,Oldn1968,442 5174,2/27/1968,,B+
812,female,Barbara,Á,Sigtryggsdóttir,Aðalgata 43,BarbaraSigtryggsdottir@rhyta.com,Mothas,445 2710,3/25/1945,,O+
813,male,Atli,S,Ketilsson,Gerðuberg 83,AtliKetilsson@gustr.com,Imstragall,445 0722,9/13/1969,,O-
814,female,Kristinn,F,Steindórsdóttir,Hamarstígur 33,KristinnSteindorsdottir@rhyta.com,Nage1946,413 6467,7/9/1946,,O+
815,male,Valgeir,S,Brynjólfsson,Skogarlond 8,ValgeirBrynjolfsson@armyspy.com,Alave1951,430 3038,10/28/1951,,O+
816,female,Sesselja,R,Baldursdóttir,Tryggvabraut 78,SesseljaBaldursdottir@gustr.com,Aloyard,434 1851,9/15/1958,,A+
817,female,Sveinhildur,F,Bjarnadóttir,Ægissiða 50,SveinhildurBjarnadottir@cuvox.de,Begany,467 4912,12/27/1951,,O+
818,male,Páll,Þ,Ágústsson,Melum 67,PallAgustsson@armyspy.com,Lonsward,457 5429,5/9/1991,,A+
819,male,Heimir,S,Hjartarson,Sidumula 36,HeimirHjartarson@gustr.com,Witicagnall,464 0457,10/24/1932,,O+
820,female,Arna,S,Áskelsdóttir,Borgarholtsbraut 85,ArnaAskelsdottir@armyspy.com,Excume,435 1801,10/27/1970,,A+
821,male,Halldór,S,Kolbeinsson,Austvaðsholti 15,HalldorKolbeinsson@teleworm.us,Anceend,447 1752,2/26/1993,,O+
822,male,Sigmar,A,Kristleifsson,Hvítárbakka 8,SigmarKristleifsson@cuvox.de,Derod1942,471 8344,5/3/1942,,B+
823,male,Arngrímur,A,Björnsson,Suðurbraut 67,ArngrimurBjornsson@jourrapide.com,Witureprobse,426 7021,11/22/1969,,O-
824,female,Rósalind,F,Indriðadóttir,Ægissiða 70,RosalindIndriadottir@armyspy.com,Pooked,419 1702,11/28/1992,,O+
825,female,Þorgerður,G,Baldvinsdóttir,Garðavegur 86,orgerurBaldvinsdottir@rhyta.com,Dersaid,419 4003,11/11/1977,,O-
826,male,Örvar,V,Guðbjörnsson,Hvítárbakka 42,OrvarGubjornsson@einrot.com,Matne1951,419 0968,5/20/1951,,B+
827,female,Rut,B,Hallmundsdóttir,Brekkugata 91,RutHallmundsdottir@cuvox.de,Eins1932,467 5513,9/26/1932,,O+
828,male,Rafn,S,Hallvarðsson,Túnbraut 67,RafnHallvarsson@superrito.com,Emid1990,488 9674,8/25/1990,,B+
829,female,Rebekka,S,Ellertsdóttir,Hamarstígur 9,RebekkaEllertsdottir@fleckens.hu,Golou1970,416 5923,2/19/1970,,A+
830,female,Elisabet,D,Valbergsdóttir,Suðurbraut 38,ElisabetValbergsdottir@jourrapide.com,Scumbrues,473 2012,4/5/1933,,B+
831,male,Jóhann,H,Bergsson,Drangahrauni 69,JohannBergsson@jourrapide.com,Sory1932,441 2726,4/3/1932,,O+
832,female,Guðborg,H,Baldvinsdóttir,Hvítárbakka 77,GuborgBaldvinsdottir@superrito.com,Almyconver,473 1420,4/30/1934,,B+
833,female,Steingerður,Á,Eggertsdóttir,Borgarholtsbraut 58,SteingerurEggertsdottir@teleworm.us,Goodincen,476 6885,12/19/1992,,A+
834,male,Steinþór,S,Sigurvinsson,Thingvallastraeti 55,SteinorSigurvinsson@einrot.com,Dires1954,429 3968,6/23/1954,,B+
835,male,Sigurmann,Í,Þorleifsson,Suðurbraut 80,Sigurmannorleifsson@jourrapide.com,Evet1931,412 3947,1/27/1931,,O+
836,female,Vilborg,A,Gísladóttir,Brekkustíg 15,VilborgGisladottir@superrito.com,Hemple,430 2653,12/28/1992,,B+
837,male,Reynir,B,Helguson,Bergstaðarstræti 79,ReynirHelguson@fleckens.hu,Ropened,418 6890,9/17/1982,,O+
838,male,Egill,M,Þorvaldsson,Fagurhólsmýri 40,Egillorvaldsson@superrito.com,Likerseld,476 8508,6/27/1985,,AB+
839,male,Valþór,K,Þorfinnsson,Gilsbakka 24,Valororfinnsson@fleckens.hu,Mameniecs,467 9109,2/26/1960,,B+
840,male,Sólveig,I,Finnsson,Hofsbót 54,SolveigFinnsson@gustr.com,Rame1985,485 2437,11/6/1985,,B+
841,female,Sunneva,A,Árnadóttir,Akurbraut 99,SunnevaArnadottir@cuvox.de,Wasterip,428 4943,11/16/1978,,O-
842,male,Örlygur,I,Hálfdánarson,Sorlaskeid 54,OrlygurHalfdanarson@dayrep.com,Peade1987,442 2211,12/16/1987,,A+
843,female,Margrét,H,Jóakimsdóttir,Kringlan 53,MargretJoakimsdottir@rhyta.com,Pight1988,481 2055,5/14/1988,,A+
844,male,Sævar,S,Hafsteinsson,Aðalstræti 4,SaevarHafsteinsson@teleworm.us,Theyout1934,411 6142,7/7/1934,,A+
845,male,Steindór,H,Bjartmarsson,Álfabyggð 36,SteindorBjartmarsson@teleworm.us,Roustich,420 0714,1/26/1954,,B+
846,female,Guðríður,Í,Valgeirsdóttir,Nordurvegur 31,GuriurValgeirsdottir@cuvox.de,Gothich,487 1633,12/14/1930,,B+
847,male,Adam,S,Vilhelmsson,Hraunás 79,AdamVilhelmsson@gustr.com,Retontook29,463 3616,7/14/1929,,B+
848,male,Styrmir,Þ,Ingason,Guðmundsson 13,StyrmirIngason@armyspy.com,Lonsed,425 7721,3/14/1943,,O+
849,male,Fannberg,E,Böðvarsson,Gránugata 94,FannbergBovarsson@jourrapide.com,Tiect1947,479 4169,9/5/1947,,O+
850,female,Arnþrúður,Á,Reynisdóttir,Hlégerði 24,ArnruurReynisdottir@einrot.com,Twoment,434 2919,6/25/1944,,AB+
851,male,Guðlaugur,B,Pálmason,Höfðagata 28,GulaugurPalmason@jourrapide.com,Thimpard,430 5324,10/22/1945,,A+
852,male,Hafsteinn,M,Guðþórsson,Vesturgata 71,HafsteinnGuorsson@armyspy.com,Fratagen32,412 8352,12/25/1932,,A+
853,male,Sigurdór,H,Engilbertsson,Þingvallastræti 98,SigurdorEngilbertsson@jourrapide.com,Youtims,443 9565,1/13/1952,,A+
854,male,Hermann,S,Guðmundarson,Keflavíkurgata 79,HermannGumundarson@dayrep.com,Thichers42,445 9461,11/13/1942,,O+
855,male,Ásmundur,I,Guðjónsson,Thingvallastraeti 80,AsmundurGujonsson@rhyta.com,Thencerest,436 7105,9/22/1994,,B+
856,male,Halldór,R,Hallssonar,Keflavíkurgata 27,HalldorHallssonar@einrot.com,Promple,420 3576,5/31/1929,,AB+
857,female,Svanborg,B,Bárudóttir,Sundabakki 15,SvanborgBarudottir@superrito.com,Upons1982,452 1095,12/31/1982,,B-
858,male,Ingvar,O,Vernharðsson,Skíðabraut 59,IngvarVernharsson@rhyta.com,Hiseel,475 9624,5/4/1937,,A+
859,male,Valþór,Þ,Ástráðsson,Laugarvegur 63,ValorAstrasson@gustr.com,Coomen53,476 8172,7/23/1953,,AB-
860,male,Róbert,K,Sigbjörnsson,Hvanneyrarbraut 24,RobertSigbjornsson@gustr.com,Yournished42,411 8253,5/23/1942,,B+
861,female,Guðný,B,Reynisdóttir,Smiðjustígur 16,GunyReynisdottir@superrito.com,Giend1974,481 6378,12/16/1974,,AB+
862,male,Valdimar,J,Tómasson,Álfabyggð 91,ValdimarTomasson@armyspy.com,Dampacked,453 6382,8/29/1947,,A+
863,male,Skafti,H,Garðarsson,Ennisbraut 31,SkaftiGararsson@superrito.com,Sith1965,437 0356,1/20/1965,,B+
864,female,Karen,S,Jensdóttir,Skogarlond 36,KarenJensdottir@armyspy.com,Clace1967,448 0821,5/29/1967,,A+
865,male,Þórður,Ó,Axelsson,Skolavordustig 44,orurAxelsson@cuvox.de,Lacial,426 0885,1/31/1937,,A+
866,female,Árný,Þ,Birgisdóttir,Ránargata 16,ArnyBirgisdottir@einrot.com,Womak1950,463 3719,5/11/1950,,A+
867,male,Snorri,L,Ævarsson,Sorlaskeid 96,SnorriAEvarsson@fleckens.hu,Reass1933,450 4673,2/12/1933,,B+
868,male,Eiður,V,Höskuldsson,Klettsbúð 19,EiurHoskuldsson@dayrep.com,Rever1965,451 5585,1/11/1965,,B+
869,female,Camilla,G,Guðbrandsdóttir,Hlíðarenda 88,CamillaGubrandsdottir@einrot.com,Lacul1974,417 4375,12/6/1974,,A+
870,female,Lydia,U,Úlfarsdóttir,Brekkugata 46,LydiaUlfarsdottir@teleworm.us,Dickclonsund,483 7516,10/27/1959,,A-
871,female,Áshildur,U,Lúthersdóttir,Sunnubraut 86,AshildurLuthersdottir@fleckens.hu,Elow1983,431 7173,2/1/1983,,B+
872,male,Róbert,A,Guðlaugsson,Stórholt 80,RobertGulaugsson@fleckens.hu,Yousight1934,475 2659,9/6/1934,,A+
873,male,Bryngeir,H,Hjálmtýsson,Grundargötu 42,BryngeirHjalmtysson@einrot.com,Recithe1953,468 0740,6/3/1953,,O+
874,male,Sigmar,B,Ingólfsson,Þingvallastræti 20,SigmarIngolfsson@superrito.com,Talsofurn,451 1195,4/12/1981,,O+
875,male,Jakob,E,Elísson,Guðmundsson 54,JakobElisson@einrot.com,Whoures,455 2024,9/21/1985,,O+
876,female,Vala,K,Björgvinsdóttir,Hverfisgata 26,ValaBjorgvinsdottir@dayrep.com,Paretherflen,459 8330,8/6/1954,,O-
877,male,Þorgrímur,G,Sigvaldason,Austurgata 25,orgrimurSigvaldason@superrito.com,Apst1930,441 2398,2/22/1930,,O-
878,female,Marsibil,A,Karlsdóttir,Ártún 11,MarsibilKarlsdottir@gustr.com,Forether,420 1299,4/28/1976,,A-
879,male,Sighvatr,S,Markússon,Brekkustíg 60,SighvatrMarkusson@fleckens.hu,Beele1933,436 2296,9/12/1933,,O+
880,male,Diðrik,M,Arnarsson,Hlíðarenda 10,DirikArnarsson@superrito.com,Quithe,480 0666,2/6/1964,,O-
881,female,Eivør,A,Baldursdóttir,Skólastígur 18,EivrBaldursdottir@rhyta.com,Geression,467 0455,12/22/1929,,O+
882,male,Sigmundur,Á,Þórlaugarson,Borgarbraut 36,Sigmundurorlaugarson@einrot.com,Smagre,444 8409,9/19/1962,,O+
883,male,Geirfinnur,B,Þorbjörnsson,Þingvallastræti 2,Geirfinnurorbjornsson@teleworm.us,Frored67,449 7017,1/7/1967,,O+
884,male,Guðmar,L,Hauksson,Höfðabraut 16,GumarHauksson@teleworm.us,Tuporat,459 2509,4/17/1972,,O+
885,male,Oddbjörn,E,Valgarðsson,Þrúðvangur 67,OddbjornValgarsson@teleworm.us,Aloortat,430 5967,2/6/1957,,O+
886,female,Borghildur,J,Ásgeirsdóttir,Heiðarbraut 17,BorghildurAsgeirsdottir@rhyta.com,Waskepter,422 7056,2/26/1947,,A+
887,female,Eneka,H,Lúthersdóttir,Fagurhólsmýri 1,EnekaLuthersdottir@teleworm.us,Eaververs1971,466 4717,7/6/1971,,O+
888,female,Steinlaug,S,Sigtryggsdóttir,Fífubarð 5,SteinlaugSigtryggsdottir@gustr.com,Upped1959,451 3864,3/5/1959,,A+
889,male,Heiðar,M,Svansson,Snorragata 17,HeiarSvansson@einrot.com,Inte1936,468 8490,11/5/1936,,O+
890,male,Agnar,Á,Þórðarson,Súluvegur 37,Agnarorarson@teleworm.us,Trome1980,470 3778,1/14/1980,,A+
891,female,Unnur,E,Hauksdóttir,Vogaland 5,UnnurHauksdottir@fleckens.hu,Librad,448 1713,9/17/1972,,B+
892,male,Hólmar,F,Vilbergsson,Þingvallastræti 62,HolmarVilbergsson@cuvox.de,Warne1974,434 3494,4/21/1974,,O+
893,female,Hrafnhildur,Á,Guðmundsdóttir,Hverfisgata 41,HrafnhildurGumundsdottir@rhyta.com,Dued1967,424 4839,12/3/1967,,A+
894,female,Sylvía,T,Þorgrímsdóttir,Djúpivogur 60,Sylviaorgrimsdottir@gustr.com,Bleart,410 0977,11/28/1961,,O+
895,female,Hafrún,H,Sigurvaldadóttir,Fagurhólsmýri 46,HafrunSigurvaldadottir@cuvox.de,Thoreeduck52,435 5093,12/13/1952,,A+
896,female,Fríður,M,Bjarnadóttir,Laufásgötu 38,FriurBjarnadottir@einrot.com,Yeacten,435 7417,11/24/1992,,B+
897,male,Ríkharður,E,Hrafnhildarson,Vesturgata 23,RikharurHrafnhildarson@armyspy.com,Halight,475 0058,12/23/1930,,O+
898,male,Björgúlfur,S,Flosason,Sorlaskeid 50,BjorgulfurFlosason@dayrep.com,Mody1942,446 5202,11/5/1942,,A+
899,male,Baldur,F,Þorláksson,Dalbraut 18,Baldurorlaksson@einrot.com,Distriong85,435 9908,7/6/1985,,A+
900,male,Ingþór,H,Baldvinsson,Austurgata 96,IngorBaldvinsson@gustr.com,Hereards,466 8766,2/24/1957,,B+
901,male,Hjalti,R,Baldvinsson,Brekkugata 46,HjaltiBaldvinsson@teleworm.us,Corephrearm,473 7037,10/20/1934,,B+
902,male,Hilmir,Þ,Þorgeirsson,Djúpivogur 54,Hilmirorgeirsson@jourrapide.com,Whoween,467 0626,7/22/1954,,O-
903,female,Gerður,S,Valdimarsdóttir,Snorragata 29,GerurValdimarsdottir@gustr.com,Youria,425 0841,7/29/1988,,O+
904,female,Sonja,B,Atladóttir,Kirkjubraut 8,SonjaAtladottir@armyspy.com,Woud1937,412 7881,5/21/1937,,O+
905,female,Hrefna,D,Hrafnsdóttir,Hagatorg 10,HrefnaHrafnsdottir@gustr.com,Himparienge,444 8536,11/23/1956,,A+
906,female,Jórunn,F,Gylfadóttir,Eyrarlandsvegur 85,JorunnGylfadottir@cuvox.de,Twitanigived,421 9216,1/30/1930,,B+
907,male,Sindri,I,Thorsson,Ólafsbraut 75,SindriThorsson@rhyta.com,Opende,477 9865,9/25/1953,,O+
908,male,Hallsteinn,E,Mathiesen,Heiðargerði 65,HallsteinnMathiesen@jourrapide.com,Nowbod,435 8345,5/11/1993,,A+
909,male,Sigurþór,H,Friðriksson,Sidumula 11,SigurorFririksson@cuvox.de,Watiod41,436 2015,2/27/1941,,O+
910,male,Þórhallur,E,Ögmundsson,Holmatun 53,orhallurOgmundsson@gustr.com,Reen1987,439 4028,8/29/1987,,AB+
911,male,Hermann,K,Gylfason,Sundlaugavegur 57,HermannGylfason@gustr.com,Splaccut84,451 7650,7/31/1984,,O+
912,male,Oddur,S,Jósefsson,Þjónustusvæði 75,OddurJosefsson@cuvox.de,Paide1970,416 1385,1/23/1970,,A+
913,male,Stefnir,Á,Hannesson,Akurbraut 43,StefnirHannesson@superrito.com,Mighte,413 5685,5/12/1992,,A+
914,male,Runólfur,G,Sigurfinnsson,Þorsteinsgata 69,RunolfurSigurfinnsson@superrito.com,Dictephe64,462 6720,10/3/1964,,A+
915,female,Gabriela,K,Guðjónsdóttir,Hlíðarenda 28,GabrielaGujonsdottir@gustr.com,Wentis,450 1426,2/17/1937,,A+
916,female,Andrea,E,Karlsdóttir,Aðalstræti 94,AndreaKarlsdottir@rhyta.com,Hinge1966,423 3158,11/18/1966,,O-
917,female,Katrín,F,Matthíasdóttir,Þverbraut 47,KatrinMatthiasdottir@armyspy.com,Mecer1993,458 2929,7/3/1993,,O+
918,male,Baldvin,R,Sigurgeirsson,Smiðjustígur 17,BaldvinSigurgeirsson@jourrapide.com,Shmisting,463 3081,8/10/1987,,O-
919,male,Gils,R,Hansson,Hvítárbakka 88,GilsHansson@einrot.com,Racclut1941,466 5599,5/17/1941,,A+
921,female,Þórdís,R,Ingólfsdóttir,Hlíðarenda 14,ordisIngolfsdottir@teleworm.us,Therewo1931,416 6713,1/26/1931,,A+
922,male,Auðunn,P,Sigurþórsson,Garðavegur 77,AuunnSigurorsson@gustr.com,Calist,438 1461,2/9/1948,,B+
923,female,Svanhvít,A,Þráinsdóttir,Dalbraut 81,Svanhvitrainsdottir@jourrapide.com,Majew1946,453 9032,9/3/1946,,A-
924,female,Hlíf,B,Úlfarsdóttir,Skíðabraut 61,HlifUlfarsdottir@superrito.com,Haddepled,434 8853,12/26/1942,,B+
925,male,Þórðr,Á,Egilsson,Dalbraut 8,orrEgilsson@fleckens.hu,Parch1980,422 2248,5/5/1980,,B+
